,name,id,nametype,recclass,massg,fall,date,reclat,reclong,GeoLocation,mass,masslog,year,place,region,country
0,Aachen,1,Valid,L5,21.0,Fell,01/01/1880 12:00:00 AM,50.775,6.08333,"(50.775000, 6.083330)",0.021,1.021,1880,Aachen,North Rhine-Westphalia,Germany
1,Aarhus,2,Valid,H6,720.0,Fell,01/01/1951 12:00:00 AM,56.183330000000005,10.23333,"(56.183330, 10.233330)",0.72,1.72,1951,Arhus,Central Jutland,Denmark
2,Abee,6,Valid,EH4,107000.0,Fell,01/01/1952 12:00:00 AM,54.21666999999999,-113.0,"(54.216670, -113.000000)",107.0,108.0,1952,Lamont,Alberta,Canada
3,Acapulco,10,Valid,Acapulcoite,1914.0,Fell,01/01/1976 12:00:00 AM,16.883329999999997,-99.9,"(16.883330, -99.900000)",1.914,2.9139999999999997,1976,Acapulco de Juarez,Guerrero,Mexico
4,Achiras,370,Valid,L6,780.0,Fell,01/01/1902 12:00:00 AM,-33.16667,-64.95,"(-33.166670, -64.950000)",0.78,1.78,1902,Achiras,Cordoba,Argentina
5,Adhi Kot,379,Valid,EH4,4239.0,Fell,01/01/1919 12:00:00 AM,32.1,71.8,"(32.100000, 71.800000)",4.239,5.239,1919,Harnoli,Punjab,Pakistan
6,Adzhi-Bogdo (stone),390,Valid,LL3-6,910.0,Fell,01/01/1949 12:00:00 AM,44.83333,95.16667,"(44.833330, 95.166670)",0.91,1.9100000000000001,1949,Bayan-Ovoo,Govi-Altay,Mongolia
7,Agen,392,Valid,H5,30000.0,Fell,01/01/1814 12:00:00 AM,44.21667,0.6166699999999999,"(44.216670, 0.616670)",30.0,31.0,1814,Le Passage,Aquitaine,France
8,Aguada,398,Valid,L6,1620.0,Fell,01/01/1930 12:00:00 AM,-31.6,-65.23333000000001,"(-31.600000, -65.233330)",1.62,2.62,1930,Villa Cura Brochero,Cordoba,Argentina
9,Aguila Blanca,417,Valid,L,1440.0,Fell,01/01/1920 12:00:00 AM,-30.866670000000003,-64.55,"(-30.866670, -64.550000)",1.44,2.44,1920,Capilla del Monte,Cordoba,Argentina
10,Aioun el Atrouss,423,Valid,Diogenite-pm,1000.0,Fell,01/01/1974 12:00:00 AM,16.39806,-9.57028,"(16.398060, -9.570280)",1.0,2.0,1974,'Ayoun el 'Atrous,Hodh el Gharbi,Mauritania
11,Aïr,424,Valid,L6,24000.0,Fell,01/01/1925 12:00:00 AM,19.08333,8.38333,"(19.083330, 8.383330)",24.0,25.0,1925,Arlit,Agadez,Niger
12,Akaba,426,Valid,L6,779.0,Fell,01/01/1949 12:00:00 AM,29.51667,35.05,"(29.516670, 35.050000)",0.779,1.779,1949,Aqaba,Aqaba,Jordan
13,Akbarpur,427,Valid,H4,1800.0,Fell,01/01/1838 12:00:00 AM,29.71667,77.95,"(29.716670, 77.950000)",1.8,2.8,1838,Laksar,Uttarakhand,India
14,Akwanga,432,Valid,H,3000.0,Fell,01/01/1959 12:00:00 AM,8.91667,8.43333,"(8.916670, 8.433330)",3.0,4.0,1959,Akwanga,Nassarawa,Nigeria
15,Akyumak,433,Valid,"Iron, IVA",50000.0,Fell,01/01/1981 12:00:00 AM,39.91667,42.81667,"(39.916670, 42.816670)",50.0,51.0,1981,Eleskirt,Agri,Turkey
16,Al Rais,446,Valid,CR2-an,160.0,Fell,01/01/1957 12:00:00 AM,24.41667,39.51667,"(24.416670, 39.516670)",0.16,1.16,1957,Sultanah,Al Madinah al Munawwarah,Saudi Arabia
17,Al Zarnkh,447,Valid,LL5,700.0,Fell,01/01/2001 12:00:00 AM,13.660329999999998,28.96,"(13.660330, 28.960000)",0.7,1.7,2001,An Nuhud,Shamal Kurdufan,Sudan
18,Alais,448,Valid,CI1,6000.0,Fell,01/01/1806 12:00:00 AM,44.11667,4.08333,"(44.116670, 4.083330)",6.0,7.0,1806,Ales,Languedoc-Roussillon,France
19,Albareto,453,Valid,L/LL4,2000.0,Fell,01/01/1766 12:00:00 AM,44.65,11.01667,"(44.650000, 11.016670)",2.0,3.0,1766,Gaggio,Emilia-Romagna,Italy
20,Alberta,454,Valid,L,625.0,Fell,01/01/1949 12:00:00 AM,2.0,22.66667,"(2.000000, 22.666670)",0.625,1.625,1949,Bumba,Equateur,DR Congo
21,Alby sur Chéran,458,Valid,Eucrite-mmict,252.0,Fell,01/01/2002 12:00:00 AM,45.821329999999996,6.0153300000000005,"(45.821330, 6.015330)",0.252,1.252,2002,Alby-sur-Cheran,Rhone-Alpes,France
22,Aldsworth,461,Valid,LL5,700.0,Fell,01/01/1835 12:00:00 AM,51.78333,-1.7833299999999999,"(51.783330, -1.783330)",0.7,1.7,1835,Northleach,England,United Kingdom
23,Aleppo,462,Valid,L6,3200.0,Fell,01/01/1873 12:00:00 AM,36.23333,37.13333,"(36.233330, 37.133330)",3.2,4.2,1873,Aleppo,Aleppo,Syria
24,Alessandria,463,Valid,H5,908.0,Fell,01/01/1860 12:00:00 AM,44.88333,8.75,"(44.883330, 8.750000)",0.908,1.908,1860,San Giuliano Vecchio,Piedmont,Italy
25,Alexandrovsky,465,Valid,H4,9251.0,Fell,01/01/1900 12:00:00 AM,50.95,31.816670000000002,"(50.950000, 31.816670)",9.251,10.251,1900,Talalayivka,Chernihiv,Ukraine
26,Alfianello,466,Valid,L6,228000.0,Fell,01/01/1883 12:00:00 AM,45.26667,10.15,"(45.266670, 10.150000)",228.0,229.0,1883,Alfianello,Lombardy,Italy
27,Allegan,2276,Valid,H5,32000.0,Fell,01/01/1899 12:00:00 AM,42.53333,-85.88333,"(42.533330, -85.883330)",32.0,33.0,1899,Allegan,Michigan,United States
28,Allende,2278,Valid,CV3,2000000.0,Fell,01/01/1969 12:00:00 AM,26.96667,-105.31667,"(26.966670, -105.316670)",2000.0,2001.0,1969,Valle de Ignacio Allende,Chihuahua,Mexico
29,Almahata Sitta,48915,Valid,Ureilite-an,3950.0,Fell,01/01/2008 12:00:00 AM,20.74575,32.41275,"(20.745750, 32.412750)",3.95,4.95,2008,Abu Sunbul,Aswan,Egypt
30,Alta'ameem,2284,Valid,LL5,6000.0,Fell,01/01/1977 12:00:00 AM,35.27333,44.215559999999996,"(35.273330, 44.215560)",6.0,7.0,1977,Kirkuk,Muhafazat Kirkuk,Iraq
31,Ambapur Nagla,2290,Valid,H5,6400.0,Fell,01/01/1895 12:00:00 AM,27.66667,78.25,"(27.666670, 78.250000)",6.4,7.4,1895,Sikandra Rao,Uttar Pradesh,India
32,Andhara,2294,Valid,Stone-uncl,2700.0,Fell,01/01/1880 12:00:00 AM,26.58333,85.56667,"(26.583330, 85.566670)",2.7,3.7,1880,Dumra,Bihar,India
33,Andover,2295,Valid,L6,3200.0,Fell,01/01/1898 12:00:00 AM,44.61667,-70.75,"(44.616670, -70.750000)",3.2,4.2,1898,Rumford,Maine,United States
34,Andreevka,2296,Valid,L3,600.0,Fell,01/01/1969 12:00:00 AM,48.7,37.5,"(48.700000, 37.500000)",0.6,1.6,1969,Krasnotorka,Donetsk,Ukraine
35,Andura,2298,Valid,H6,17900.0,Fell,01/01/1939 12:00:00 AM,20.883329999999997,76.86667,"(20.883330, 76.866670)",17.9,18.9,1939,Telhara,Maharashtra,India
36,Angra dos Reis (stone),2302,Valid,Angrite,1500.0,Fell,01/01/1869 12:00:00 AM,-22.96667,-44.31667,"(-22.966670, -44.316670)",1.5,2.5,1869,Angra dos Reis,Rio de Janeiro,Brazil
37,Ankober,2304,Valid,H4,6500.0,Fell,01/01/1942 12:00:00 AM,9.53333,39.71667,"(9.533330, 39.716670)",6.5,7.5,1942,Debre Birhan,Amhara,Ethiopia
38,Anlong,2305,Valid,H5,2500.0,Fell,01/01/1971 12:00:00 AM,25.15,105.18333,"(25.150000, 105.183330)",2.5,3.5,1971,Xinzhou,Guangxi Zhuangzu Zizhiqu,China
39,Aomori,2313,Valid,L6,320.0,Fell,01/01/1984 12:00:00 AM,40.810559999999995,140.78556,"(40.810560, 140.785560)",0.32,1.32,1984,Aomori Shi,Aomori,Japan
40,Appley Bridge,2318,Valid,LL6,15000.0,Fell,01/01/1914 12:00:00 AM,53.583330000000004,-2.71667,"(53.583330, -2.716670)",15.0,16.0,1914,Appley Bridge,England,United Kingdom
41,Apt,2320,Valid,L6,3200.0,Fell,01/01/1803 12:00:00 AM,43.86667,5.38333,"(43.866670, 5.383330)",3.2,4.2,1803,Apt,Provence-Alpes-Cote d'Azur,France
42,Arbol Solo,2325,Valid,H5,810.0,Fell,01/01/1954 12:00:00 AM,-33.0,-66.0,"(-33.000000, -66.000000)",0.81,1.81,1954,La Punta,San Luis,Argentina
43,Archie,2329,Valid,H6,5070.0,Fell,01/01/1932 12:00:00 AM,38.5,-94.3,"(38.500000, -94.300000)",5.07,6.07,1932,Archie,Missouri,United States
44,Arroyo Aguiar,2340,Valid,H5,7450.0,Fell,01/01/1950 12:00:00 AM,-31.41667,-60.666669999999996,"(-31.416670, -60.666670)",7.45,8.45,1950,Recreo,Santa Fe,Argentina
45,Asco,2345,Valid,H6,41.0,Fell,01/01/1805 12:00:00 AM,42.45,9.03333,"(42.450000, 9.033330)",0.041,1.041,1805,Monticello,Corsica,France
46,Ash Creek,48954,Valid,L6,9500.0,Fell,01/01/2009 12:00:00 AM,31.805,-97.01,"(31.805000, -97.010000)",9.5,10.5,2009,West,Texas,United States
