,id,spkid,full_name,pdes,name,prefix,neo,pha,H,diameter,albedo,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,rms
1565,a0001566,2001566,  1566 Icarus (1949 MA),1566,Icarus,,Y,Y,16.9,1.0,0.51,,107,2459000.5,59000,20200531.0,J2000,0.8270213269059251,1.078168924000127,0.1865002298448085,22.822113327141782,87.99754359357092,31.39334350716884,192.08318129386032,1.969837618155446,0.8803874820999982,2459191.230584112,20201207.7305841,408.9108572299187,1.1195369123338001,0.034244699999999996,13.327009899,3.6371e-08,2.8179e-09,3.9169e-08,1.2622e-05,3.9760000000000006e-06,6.8347e-06,6.4678999999999995e-06,5.148399999999999e-09,3.4515e-09,8.0542e-06,1.6031e-06,APO,0.33228
1619,a0001620,2001620,  1620 Geographos (1951 RA),1620,Geographos,,Y,Y,15.3,2.56,0.29,0.15,JPL 609,2459000.5,59000,20200531.0,J2000,0.3354548020109591,1.245666863784177,0.8278019326218434,13.337043484675801,337.18697521555333,276.956067645158,235.1126416339228,1.6635317949465098,0.7089264923814854,2459176.664044803,20201123.1640448,507.81005346641473,1.3903081545966203,0.030353500000000002,11.812671595,1.1323000000000002e-08,1.5884e-10,1.4171e-08,2.5705e-06,2.6329000000000002e-06,3.4911000000000003e-06,3.0666000000000004e-06,2.1212000000000001e-10,1.3559e-10,4.3566e-06,9.7128e-08,APO,0.40639000000000003
1861,a0001862,2001862,  1862 Apollo (1932 HA),1862,Apollo,,Y,Y,16.25,1.5,0.25,,JPL 308,2459000.5,59000,20200531.0,J2000,0.5599167398990702,1.470345437077941,0.6470744134237867,6.3547316097780895,35.62713125014458,285.9759580870181,88.54647870988589,2.2936164607320952,0.5528088749143599,2458840.324426256,20191222.8244263,651.2196463122457,1.7829422212518702,0.025814099999999996,10.046073297000001,1.3185e-08,8.2996e-10,1.956e-08,3.3105000000000003e-06,2.3987e-05,2.4893e-05,3.4486000000000003e-06,1.2947e-09,4.6806e-10,6.1038e-06,5.5138e-07,APO,0.48568
1980,a0001981,2001981,  1981 Midas (1973 EA),1981,Midas,,Y,Y,15.2,3.4,,,JPL 195,2459000.5,59000,20200531.0,J2000,0.65035151771509,1.776503077052497,0.6211516046658779,39.82959060027727,356.8640430396759,267.8229779024979,312.7361104124565,2.931854549439116,0.4162508446763338,2459114.046651477,20200921.5466515,864.8631098392772,2.36786614603498,0.00356774,1.3884573758,2.4107e-08,2.7739e-09,4.3207000000000004e-08,7.6677e-06,1.8593000000000001e-06,5.17e-06,1.5968000000000001e-06,4.5779e-09,9.7492e-10,3.9975e-06,2.0256e-06,APO,0.39337
2100,a0002101,2002101,  2101 Adonis (1936 CA),2101,Adonis,,Y,Y,18.8,0.6,,,JPL 39,2459000.5,59000,20200531.0,J2000,0.7639969230880802,1.874841299172494,0.4424683153262496,1.3224759680428808,349.4862729707103,43.60820334995537,336.1573218268102,3.307214283018738,0.3839346478806828,2459062.600876555,20200801.100876603,937.6595782308217,2.5671720143212102,0.0115889,4.510052213,6.704799999999999e-08,1.4052999999999999e-09,1.2552999999999999e-07,9.6989e-06,0.00042998,0.00043046,1.1227000000000001e-05,2.4789e-09,4.3166000000000004e-10,2.9256999999999998e-05,1.0542e-06,APO,0.7383
2101,a0002102,2002102,  2102 Tantalus (1975 YA),2102,Tantalus,,Y,Y,16.0,1.649,0.245,0.045,JPL 195,2459000.5,59000,20200531.0,J2000,0.2991482374371164,1.290150777373146,0.9042044462938438,64.00699255328968,94.3624923060276,61.54106408142581,81.98646831159535,1.6760971084524483,0.6725791054966707,2458878.6013747803,20200130.1013748,535.253023856808,1.4654429126811999,0.0434654,16.915429718,2.7587e-08,1.0543e-09,3.5842e-08,1.1632e-05,1.6818000000000001e-06,1.012e-05,7.798899999999999e-06,1.3697000000000001e-09,8.2447e-10,1.1582999999999999e-05,6.5613e-07,APO,0.30566
2134,a0002135,2002135,  2135 Aristaeus (1977 HA),2135,Aristaeus,,Y,Y,17.94,,,,22,2459000.5,59000,20200531.0,J2000,0.5030136617821045,1.5999671260061992,0.7951618032228309,23.058154566896352,191.1800911267857,290.90943376624665,142.9273611413273,2.4047724487895668,0.4870095580172899,2458707.020418771,20190811.5204188,739.2052046486102,2.02383355139934,0.00987554,3.8432639018,1.3072e-06,8.290100000000001e-08,2.0705e-06,5.3799e-05,0.00035033,0.00016065,0.00073305,1.2460000000000002e-07,3.7851e-08,0.0014827,5.7452e-05,APO,0.55762
2200,a0002201,2002201,  2201 Oljato (1947 XC),2201,Oljato,,Y,Y,15.3,1.8,0.4328,0.1,211,2459000.5,59000,20200531.0,J2000,0.7128855212674332,2.174083942076455,0.6242109777501252,2.522429202495983,74.98703322352544,98.24724876350737,203.11573361225132,3.7239569064027833,0.3074606998599317,2459510.757949908,20211023.2579499,1170.881352198845,3.20569843175591,0.00312534,1.2162885678,3.2939e-08,9.1281e-09,6.9534e-08,4.1235e-06,0.00010929,0.00010919,2.8846e-06,1.5634999999999997e-08,1.9364e-09,1.2329000000000002e-05,7.374099999999999e-06,APO,0.47476999999999997
2339,a0002340,2002340,  2340 Hathor (1976 UA),2340,Hathor,,Y,Y,20.2,0.3,,,JPL 60,2453228.5,53228,20040811.0,J2000,0.4498841655895494,0.8438292455376517,0.4642038295088863,5.854591233229053,211.54213707501617,39.92629416655726,42.10443294792183,1.223454661566417,1.271517126434761,2453195.3864602195,20040708.8864602,283.1263476642372,0.775157693810369,0.00687373,2.6750495041,1.0082000000000001e-07,5.9662e-10,8.4879e-08,8.1522e-06,2.6559e-05,2.8328e-05,1.2119e-05,8.6503e-10,1.3485e-09,9.5386e-06,3.0027e-07,ATE,0.4662
3121,a0003122,2003122,  3122 Florence (1981 ET3),3122,Florence,,Y,Y,14.0,4.9,0.231,,559,2459000.5,59000,20200531.0,J2000,0.4229445910453244,1.768974947335498,1.020796561665261,22.142496248584642,336.0638555801969,27.847814866563052,50.43779606820458,2.517153333005735,0.4189107934728757,2458880.097764359,20200131.5977644,859.3715072736836,2.35283095762815,0.0453329,17.642204693,6.5386e-09,4.1587e-09,1.24e-08,1.8572e-06,1.2425e-06,4.7255e-06,1.4199000000000002e-06,5.9176e-09,1.4772000000000002e-09,3.2247000000000002e-06,3.0305e-06,AMO,0.28997
